titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Willempie;André van Duin;1976;1015;0;0;1776;0;1579;0;0;1833;0;0;0;0;0;0;0
Con Te Partiro;Andrea Bocelli;1996;109;0;155;251;364;248;326;373;135;228;755;493;556;735;706;898
Vivo Per Lei;Andrea Bocelli;1996;370;189;369;435;485;546;559;629;433;501;905;827;721;610;776;1025
Vivere;Andrea Bocelli;1994;0;0;0;1359;1400;1355;1589;1910;1406;1584;0;1896;0;1765;1976;0
Time To Say Goodbye;Andrea Bocelli & Sarah Brightman;1997;0;0;0;0;0;0;1841;174;91;293;301;212;251;370;353;426
Lonely Boy;Andrew Gold;1977;953;676;412;597;965;973;1050;1350;1403;1109;0;1822;1473;1943;1981;1818
Never Het Her Slip Away;Andrew Gold;1978;1147;1114;743;730;1430;1471;1292;1571;1533;1395;0;1966;0;0;0;0
Thank You For Being A Friend;Andrew Gold;1978;1623;0;0;1703;0;0;0;0;0;0;0;0;0;0;0;0
Baby I Love You;Andy Kim;1969;0;1416;1605;1826;1747;1709;0;0;0;0;0;0;0;0;0;0
(Where Do I Begin) Love Story;Andy Williams;1971;1322;1637;1472;1498;1774;1350;1570;1694;1233;1472;0;0;0;1597;0;0
Battle Hymn Of The Republic;Andy Williams;1968;0;0;1218;1485;1817;1468;1334;1759;1092;1436;0;1819;0;0;0;0
Music To Watch Girls By;Andy Williams;1967;1373;1571;1725;1624;1698;1849;1288;0;1899;1893;0;0;0;0;0;0
Miracles;Anita Garbo;1977;0;1725;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Why Tell Me Why;Anita Meyer;1981;681;808;648;641;711;676;667;745;540;630;640;520;518;993;789;944
The Alternative Way;Anita Meyer;1976;1267;1009;1149;889;1187;1096;1001;1220;949;1061;1693;1473;1849;0;0;0
They Don't Play Our Lovesong Anymore;Anita Meyer;1981;0;0;1239;1519;1571;1274;1436;1519;1212;1385;1754;1386;1478;0;0;0
Ring My Bell;Anita Ward;1979;0;1120;1802;0;0;0;0;0;0;0;0;0;0;0;0;0
Complainte Pour Ste. Catherine;Anna & Kate McGarrigle;1976;536;604;504;637;804;612;697;817;670;679;1427;1264;1418;1527;1862;1793
Tu Te Reconnaitras;Anne Marie David;1973;1233;0;1359;1831;0;0;1730;0;0;0;0;0;0;0;0;0
You Needed Me;Anne Murray;1978;633;0;1035;1039;1117;942;909;878;588;795;0;1579;0;0;0;0
Brandend Zand;Anneke Grönloh;1962;844;0;1015;1133;731;770;110;763;642;491;1570;1437;1869;0;0;0
Paradiso;Anneke Grönloh;1962;0;0;0;0;0;0;396;0;1827;1860;0;0;0;0;0;0
Why;Annie Lennox;1992;317;431;447;346;413;491;441;571;402;442;765;715;839;1117;1108;1222
No More I Love You's;Annie Lennox;1995;0;0;0;0;0;0;0;0;0;0;0;1739;0;0;0;0
Put A Little Love In Your Heart;Annie Lennox & Al Green;1988;1721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nobody's Wife;Anouk;1997;0;0;0;0;0;0;194;128;90;199;115;70;124;140;145;168
Birds;Anouk;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;398;213
Lost;Anouk;2005;0;0;0;0;0;0;0;0;0;0;189;322;172;151;217;245
Michel;Anouk;2000;0;0;0;0;0;0;475;295;196;468;278;503;304;319;376;393
For Bitter Or Worse;Anouk;2009;0;0;0;0;0;0;0;0;0;0;0;400;269;202;358;429
One Word;Anouk;2005;0;0;0;0;0;0;0;0;0;0;475;1371;776;581;574;526
